routename,seat,bustypes,busnames,routetimes,starratings,tickets,reaching, duration,STATE
Hyderabad to Vijayawada,22 Seats available,Electric A/C Seater (2+2),FRESHBUS,12:50,4.7,"Starts from
INR 349 249",19:30,06h 40m,anthara
Hyderabad to Vijayawada,23 Seats available,Electric A/C Seater (2+2),FRESHBUS,12:50,4.7,"Starts from
INR 349 249",19:30,06h 40m,anthara
Hyderabad to Vijayawada,16 Seats available,Electric A/C Seater (2+2),FRESHBUS,12:50,4.7,"Starts from
INR 349 249",19:30,06h 40m,anthara
Hyderabad to Vijayawada,,Electric A/C Seater (2+2),FRESHBUS,12:50,4.7,"Starts from
INR 349 249",19:30,06h 40m,anthara
Hyderabad to Vijayawada,,Electric A/C Seater (2+2),FRESHBUS,12:50,4.7,"Starts from
INR 349 249",19:30,06h 40m,anthara
Vijayawada to Hyderabad,18 Seats available,A/C Seater / Sleeper (2+1),IntrCity SmartBus,22:45,4.6,"Starts from
INR 349",05:40,06h 55m,anthara
Vijayawada to Hyderabad,18 Seats available,A/C Seater / Sleeper (2+1),IntrCity SmartBus,22:45,4.6,"Starts from
INR 349",05:40,06h 55m,anthara
Vijayawada to Hyderabad,17 Seats available,A/C Seater / Sleeper (2+1),IntrCity SmartBus,22:45,4.6,"Starts from
INR 349",05:40,06h 55m,anthara
Vijayawada to Hyderabad,,A/C Seater / Sleeper (2+1),IntrCity SmartBus,22:45,4.6,"Starts from
INR 349",05:40,06h 55m,anthara
Vijayawada to Hyderabad,,A/C Seater / Sleeper (2+1),IntrCity SmartBus,22:45,4.6,"Starts from
INR 349",05:40,06h 55m,anthara
Bangalore to Tirupati,2 Seats available,Electric A/C Seater (2+2),FRESHBUS,09:05,4.5,INR 349 249,14:30,05h 25m,anthara
Bangalore to Tirupati,8 Seats available,Electric A/C Seater (2+2),FRESHBUS,09:05,4.5,INR 349 249,14:30,05h 25m,anthara
Bangalore to Tirupati,2 Seats available,Electric A/C Seater (2+2),FRESHBUS,09:05,4.5,INR 349 249,14:30,05h 25m,anthara
Bangalore to Tirupati,,Electric A/C Seater (2+2),FRESHBUS,09:05,4.5,INR 349 249,14:30,05h 25m,anthara
Bangalore to Tirupati,,Electric A/C Seater (2+2),FRESHBUS,09:05,4.5,INR 349 249,14:30,05h 25m,anthara
Bangalore to Kadapa,23 Seats available,Non A/C Seater / Sleeper (2+1),Shiva Parvathi Tours And Travels,19:00,4.3,"Starts from
INR 800",02:30,07h 30m,anthara
Bangalore to Kadapa,20 Seats available,Non A/C Seater / Sleeper (2+1),Shiva Parvathi Tours And Travels,19:00,4.3,"Starts from
INR 800",02:30,07h 30m,anthara
Bangalore to Kadapa,19 Seats available,Non A/C Seater / Sleeper (2+1),Shiva Parvathi Tours And Travels,19:00,4.3,"Starts from
INR 800",02:30,07h 30m,anthara
Bangalore to Kadapa,28 Seats available,Non A/C Seater / Sleeper (2+1),Shiva Parvathi Tours And Travels,19:00,4.3,"Starts from
INR 800",02:30,07h 30m,anthara
Bangalore to Kadapa,,Non A/C Seater / Sleeper (2+1),Shiva Parvathi Tours And Travels,19:00,4.3,"Starts from
INR 800",02:30,07h 30m,anthara
Kakinada to Visakhapatnam,35 Seats available,Non A/C Seater / Sleeper (2+1),SRI VIJAYA KRISHNA TOURS and TRAVELS,23:59,na,"Starts from
INR 499",04:30,04h 31m,anthara
Hyderabad to Ongole,19 Seats available,A/C Seater / Sleeper (2+1),Sri Vengamamba Bus Transport (SVBT),21:45,4.4,"Starts from
INR 672",06:15,08h 30m,anthara
