routename,seat,bustypes,busnames,routetimes,starratings,tickets,reaching, duration,STATE
Guwahati to Tezpur,26 Seats available,Bharat Benz A/C Seater (2+2),Mahi Travels(Under ASTC),10:30,3.4,INR 396 356,14:55,04h 25m,assam
Guwahati to Tezpur,16 Seats available,Bharat Benz A/C Seater (2+2),Mahi Travels(Under ASTC),10:30,3.4,INR 396 356,14:55,04h 25m,assam
Guwahati to Tezpur,9 Seats available,Bharat Benz A/C Seater (2+2),Mahi Travels(Under ASTC),10:30,3.4,INR 396 356,14:55,04h 25m,assam
Guwahati to Tezpur,19 Seats available,Bharat Benz A/C Seater (2+2),Mahi Travels(Under ASTC),10:30,3.4,INR 396 356,14:55,04h 25m,assam
Guwahati to Tezpur,23 Seats available,Bharat Benz A/C Seater (2+2),Mahi Travels(Under ASTC),10:30,3.4,INR 396 356,14:55,04h 25m,assam
Guwahati to Tezpur,31 Seats available,Bharat Benz A/C Seater (2+2),Mahi Travels(Under ASTC),10:30,3.4,INR 396 356,14:55,04h 25m,assam
Guwahati to Tezpur,19 Seats available,Bharat Benz A/C Seater (2+2),Mahi Travels(Under ASTC),10:30,3.4,INR 396 356,14:55,04h 25m,assam
Guwahati to Tezpur,31 Seats available,Bharat Benz A/C Seater (2+2),Mahi Travels(Under ASTC),10:30,3.4,INR 396 356,14:55,04h 25m,assam
Guwahati to Tezpur,25 Seats available,Bharat Benz A/C Seater (2+2),Mahi Travels(Under ASTC),10:30,3.4,INR 396 356,14:55,04h 25m,assam
Guwahati to Tezpur,32 Seats available,Bharat Benz A/C Seater (2+2),Mahi Travels(Under ASTC),10:30,3.4,INR 396 356,14:55,04h 25m,assam
Guwahati to Tezpur,19 Seats available,Bharat Benz A/C Seater (2+2),Mahi Travels(Under ASTC),10:30,3.4,INR 396 356,14:55,04h 25m,assam
Guwahati to Tezpur,37 Seats available,Bharat Benz A/C Seater (2+2),Mahi Travels(Under ASTC),10:30,3.4,INR 396 356,14:55,04h 25m,assam
Guwahati to Tezpur,19 Seats available,Bharat Benz A/C Seater (2+2),Mahi Travels(Under ASTC),10:30,3.4,INR 396 356,14:55,04h 25m,assam
Guwahati to Tezpur,31 Seats available,Bharat Benz A/C Seater (2+2),Mahi Travels(Under ASTC),10:30,3.4,INR 396 356,14:55,04h 25m,assam
Guwahati to Tezpur,26 Seats available,Bharat Benz A/C Seater (2+2),Mahi Travels(Under ASTC),10:30,3.4,INR 396 356,14:55,04h 25m,assam
Guwahati to Tezpur,29 Seats available,Bharat Benz A/C Seater (2+2),Mahi Travels(Under ASTC),10:30,3.4,INR 396 356,14:55,04h 25m,assam
Guwahati to Tezpur,33 Seats available,Bharat Benz A/C Seater (2+2),Mahi Travels(Under ASTC),10:30,3.4,INR 396 356,14:55,04h 25m,assam
Guwahati to Tezpur,32 Seats available,Bharat Benz A/C Seater (2+2),Mahi Travels(Under ASTC),10:30,3.4,INR 396 356,14:55,04h 25m,assam
Guwahati to Tezpur,1 Seat available,Bharat Benz A/C Seater (2+2),Mahi Travels(Under ASTC),10:30,3.4,INR 396 356,14:55,04h 25m,assam
Guwahati to Tezpur,20 Seats available,Bharat Benz A/C Seater (2+2),Mahi Travels(Under ASTC),10:30,3.4,INR 396 356,14:55,04h 25m,assam
Guwahati to Tezpur,26 Seats available,Bharat Benz A/C Seater (2+2),Mahi Travels(Under ASTC),10:30,3.4,INR 396 356,14:55,04h 25m,assam
Guwahati to Tezpur,20 Seats available,Bharat Benz A/C Seater (2+2),Mahi Travels(Under ASTC),10:30,3.4,INR 396 356,14:55,04h 25m,assam
Guwahati to Tezpur,35 Seats available,Bharat Benz A/C Seater (2+2),Mahi Travels(Under ASTC),10:30,3.4,INR 396 356,14:55,04h 25m,assam
Guwahati to Tezpur,27 Seats available,Bharat Benz A/C Seater (2+2),Mahi Travels(Under ASTC),10:30,3.4,INR 396 356,14:55,04h 25m,assam
Guwahati to Tezpur,20 Seats available,Bharat Benz A/C Seater (2+2),Mahi Travels(Under ASTC),10:30,3.4,INR 396 356,14:55,04h 25m,assam
Guwahati to Tezpur,21 Seats available,Bharat Benz A/C Seater (2+2),Mahi Travels(Under ASTC),10:30,3.4,INR 396 356,14:55,04h 25m,assam
Guwahati to Tezpur,29 Seats available,Bharat Benz A/C Seater (2+2),Mahi Travels(Under ASTC),10:30,3.4,INR 396 356,14:55,04h 25m,assam
Guwahati to Tezpur,45 Seats available,Bharat Benz A/C Seater (2+2),Mahi Travels(Under ASTC),10:30,3.4,INR 396 356,14:55,04h 25m,assam
Guwahati to Tezpur,27 Seats available,Bharat Benz A/C Seater (2+2),Mahi Travels(Under ASTC),10:30,3.4,INR 396 356,14:55,04h 25m,assam
Guwahati to Tezpur,27 Seats available,Bharat Benz A/C Seater (2+2),Mahi Travels(Under ASTC),10:30,3.4,INR 396 356,14:55,04h 25m,assam
Guwahati to Tezpur,28 Seats available,Bharat Benz A/C Seater (2+2),Mahi Travels(Under ASTC),10:30,3.4,INR 396 356,14:55,04h 25m,assam
