routename,seat,bustypes,busnames,routetimes,starratings,tickets,reaching, duration,STATE
Patna (Bihar) to Bettiah,26 Seats available,A/C Seater / Sleeper (2+2),Jai Mata Di Tour and Travels,20:00,3.3,"Starts from
INR 500 450",02:00,06h 00m,bhigar
Patna (Bihar) to Bettiah,33 Seats available,A/C Seater / Sleeper (2+2),Jai Mata Di Tour and Travels,20:00,3.3,"Starts from
INR 500 450",02:00,06h 00m,bhigar
Patna (Bihar) to Bettiah,54 Seats available,A/C Seater / Sleeper (2+2),Jai Mata Di Tour and Travels,20:00,3.3,"Starts from
INR 500 450",02:00,06h 00m,bhigar
Patna (Bihar) to Bettiah,30 Seats available,A/C Seater / Sleeper (2+2),Jai Mata Di Tour and Travels,20:00,3.3,"Starts from
INR 500 450",02:00,06h 00m,bhigar
Patna (Bihar) to Bettiah,41 Seats available,A/C Seater / Sleeper (2+2),Jai Mata Di Tour and Travels,20:00,3.3,"Starts from
INR 500 450",02:00,06h 00m,bhigar
Patna (Bihar) to Motihari,35 Seats available,Non AC Seater (2+2),Bihar state road transport corporation (BSRTC) - 181063,21:20,3.8,INR 230,01:30,04h 10m,bhigar
Patna (Bihar) to Motihari,35 Seats available,Non AC Seater (2+2),Bihar state road transport corporation (BSRTC) - 181063,21:20,3.8,INR 230,01:30,04h 10m,bhigar
Patna (Bihar) to Motihari,35 Seats available,Non AC Seater (2+2),Bihar state road transport corporation (BSRTC) - 181063,21:20,3.8,INR 230,01:30,04h 10m,bhigar
Patna (Bihar) to Motihari,27 Seats available,Non AC Seater (2+2),Bihar state road transport corporation (BSRTC) - 181063,21:20,3.8,INR 230,01:30,04h 10m,bhigar
Patna (Bihar) to Motihari,58 Seats available,Non AC Seater (2+2),Bihar state road transport corporation (BSRTC) - 181063,21:20,3.8,INR 230,01:30,04h 10m,bhigar
Patna (Bihar) to Motihari,,Non AC Seater (2+2),Bihar state road transport corporation (BSRTC) - 181063,21:20,3.8,INR 230,01:30,04h 10m,bhigar
Patna (Bihar) to Motihari,,Non AC Seater (2+2),Bihar state road transport corporation (BSRTC) - 181063,21:20,3.8,INR 230,01:30,04h 10m,bhigar
Patna (Bihar) to Motihari,,Non AC Seater (2+2),Bihar state road transport corporation (BSRTC) - 181063,21:20,3.8,INR 230,01:30,04h 10m,bhigar
Patna (Bihar) to Motihari,,Non AC Seater (2+2),Bihar state road transport corporation (BSRTC) - 181063,21:20,3.8,INR 230,01:30,04h 10m,bhigar
Patna (Bihar) to Motihari,,Non AC Seater (2+2),Bihar state road transport corporation (BSRTC) - 181063,21:20,3.8,INR 230,01:30,04h 10m,bhigar
