routename,seat,bustypes,busnames,routetimes,starratings,tickets,reaching, duration,STATE
Kolkata to Digha,18 Seats available,VE A/C Seater (2+2),Shyamoli Paribahan Pvt Ltd,23:30,4.6,INR 500,04:30,05h 00m,chandigarh
Kolkata to Digha,26 Seats available,VE A/C Seater (2+2),Shyamoli Paribahan Pvt Ltd,23:30,4.6,INR 500,04:30,05h 00m,chandigarh
Kolkata to Digha,,VE A/C Seater (2+2),Shyamoli Paribahan Pvt Ltd,23:30,4.6,INR 500,04:30,05h 00m,chandigarh
Kolkata to Digha,,VE A/C Seater (2+2),Shyamoli Paribahan Pvt Ltd,23:30,4.6,INR 500,04:30,05h 00m,chandigarh
Kolkata to Digha,,VE A/C Seater (2+2),Shyamoli Paribahan Pvt Ltd,23:30,4.6,INR 500,04:30,05h 00m,chandigarh
Digha to Barasat (West Bengal),44 Seats available,Non AC Seater (2+3),SBSTC-DIGHA - BARASAT - 14:20 (DIGHA DEPOT) - 516,14:20,3.3,INR 170,19:20,05h 00m,chandigarh
Digha to Barasat (West Bengal),9 Seats available,Non AC Seater (2+3),SBSTC-DIGHA - BARASAT - 14:20 (DIGHA DEPOT) - 516,14:20,3.3,INR 170,19:20,05h 00m,chandigarh
Digha to Barasat (West Bengal),12 Seats available,Non AC Seater (2+3),SBSTC-DIGHA - BARASAT - 14:20 (DIGHA DEPOT) - 516,14:20,3.3,INR 170,19:20,05h 00m,chandigarh
Digha to Barasat (West Bengal),25 Seats available,Non AC Seater (2+3),SBSTC-DIGHA - BARASAT - 14:20 (DIGHA DEPOT) - 516,14:20,3.3,INR 170,19:20,05h 00m,chandigarh
Digha to Barasat (West Bengal),21 Seats available,Non AC Seater (2+3),SBSTC-DIGHA - BARASAT - 14:20 (DIGHA DEPOT) - 516,14:20,3.3,INR 170,19:20,05h 00m,chandigarh
Digha to Barasat (West Bengal),,Non AC Seater (2+3),SBSTC-DIGHA - BARASAT - 14:20 (DIGHA DEPOT) - 516,14:20,3.3,INR 170,19:20,05h 00m,chandigarh
Digha to Barasat (West Bengal),,Non AC Seater (2+3),SBSTC-DIGHA - BARASAT - 14:20 (DIGHA DEPOT) - 516,14:20,3.3,INR 170,19:20,05h 00m,chandigarh
Digha to Barasat (West Bengal),,Non AC Seater (2+3),SBSTC-DIGHA - BARASAT - 14:20 (DIGHA DEPOT) - 516,14:20,3.3,INR 170,19:20,05h 00m,chandigarh
Digha to Barasat (West Bengal),,Non AC Seater (2+3),SBSTC-DIGHA - BARASAT - 14:20 (DIGHA DEPOT) - 516,14:20,3.3,INR 170,19:20,05h 00m,chandigarh
Digha to Barasat (West Bengal),,Non AC Seater (2+3),SBSTC-DIGHA - BARASAT - 14:20 (DIGHA DEPOT) - 516,14:20,3.3,INR 170,19:20,05h 00m,chandigarh
Digha to Kolkata,15 Seats available,Volvo A/C Seater (2+2),Greenline,13:40,4.4,INR 300,18:25,04h 45m,chandigarh
Digha to Kolkata,11 Seats available,Volvo A/C Seater (2+2),Greenline,13:40,4.4,INR 300,18:25,04h 45m,chandigarh
Digha to Kolkata,12 Seats available,Volvo A/C Seater (2+2),Greenline,13:40,4.4,INR 300,18:25,04h 45m,chandigarh
Digha to Kolkata,,Volvo A/C Seater (2+2),Greenline,13:40,4.4,INR 300,18:25,04h 45m,chandigarh
Digha to Kolkata,,Volvo A/C Seater (2+2),Greenline,13:40,4.4,INR 300,18:25,04h 45m,chandigarh
Kolkata to Bolpur (West Bengal),26 Seats available,A/C Seater (2+2),WBTC (CTC) KOLKATA -BOLPUR - SURI (AC-VOLVO) - 104|14:30,14:30,4.2,INR 375,18:15,03h 45m,chandigarh
Durgapur (West Bengal) to Kolkata,25 Seats available,Volvo B11R Multi Axle Seater (2+2),SHYAMOLI Pvt. Ltd.(Karunamoyee),11:00,4.1,INR 486,15:00,04h 00m,chandigarh
Durgapur (West Bengal) to Kolkata,14 Seats available,Volvo B11R Multi Axle Seater (2+2),SHYAMOLI Pvt. Ltd.(Karunamoyee),11:00,4.1,INR 486,15:00,04h 00m,chandigarh
Durgapur (West Bengal) to Kolkata,15 Seats available,Volvo B11R Multi Axle Seater (2+2),SHYAMOLI Pvt. Ltd.(Karunamoyee),11:00,4.1,INR 486,15:00,04h 00m,chandigarh
Durgapur (West Bengal) to Kolkata,,Volvo B11R Multi Axle Seater (2+2),SHYAMOLI Pvt. Ltd.(Karunamoyee),11:00,4.1,INR 486,15:00,04h 00m,chandigarh
Durgapur (West Bengal) to Kolkata,,Volvo B11R Multi Axle Seater (2+2),SHYAMOLI Pvt. Ltd.(Karunamoyee),11:00,4.1,INR 486,15:00,04h 00m,chandigarh
Barasat (West Bengal) to Digha,29 Seats available,Benz A/C Seater (2+2),Lokenath Bus Service,22:00,4.3,"Starts from
INR 549 467",05:00,07h 00m,chandigarh
Barasat (West Bengal) to Digha,47 Seats available,Benz A/C Seater (2+2),Lokenath Bus Service,22:00,4.3,"Starts from
INR 549 467",05:00,07h 00m,chandigarh
Barasat (West Bengal) to Digha,30 Seats available,Benz A/C Seater (2+2),Lokenath Bus Service,22:00,4.3,"Starts from
INR 549 467",05:00,07h 00m,chandigarh
Barasat (West Bengal) to Digha,41 Seats available,Benz A/C Seater (2+2),Lokenath Bus Service,22:00,4.3,"Starts from
INR 549 467",05:00,07h 00m,chandigarh
Barasat (West Bengal) to Nandakumar (west bengal),54 Seats available,Non AC Seater (2+3),WBTC (CTC) HABRA-DIGHA via Bally - 26|14:00,14:00,4.6,INR 90,16:10,02h 10m,chandigarh
Barasat (West Bengal) to Nandakumar (west bengal),36 Seats available,Non AC Seater (2+3),WBTC (CTC) HABRA-DIGHA via Bally - 26|14:00,14:00,4.6,INR 90,16:10,02h 10m,chandigarh
Barasat (West Bengal) to Nandakumar (west bengal),11 Seats available,Non AC Seater (2+3),WBTC (CTC) HABRA-DIGHA via Bally - 26|14:00,14:00,4.6,INR 90,16:10,02h 10m,chandigarh
