routemname,seat,bustypes,busnames,routetimes,starratings,tickets,reaching, duration,STATE
Delhi to Shimla,26 Seats available,Volvo A/C Semi Sleeper (2+2),Bedi Travels,23:00,4.7,"Starts from
INR 1159 1043",08:00,09h 00m,Himachal Pradesh
Delhi to Shimla,32 Seats available,Volvo A/C Semi Sleeper (2+2),Bedi Travels,23:00,4.7,"Starts from
INR 1159 1043",08:00,09h 00m,Himachal Pradesh
Delhi to Shimla,29 Seats available,Volvo A/C Semi Sleeper (2+2),Bedi Travels,23:00,4.7,"Starts from
INR 1159 1043",08:00,09h 00m,Himachal Pradesh
Delhi to Shimla,,Volvo A/C Semi Sleeper (2+2),Bedi Travels,23:00,4.7,"Starts from
INR 1159 1043",08:00,09h 00m,Himachal Pradesh
Delhi to Shimla,,Volvo A/C Semi Sleeper (2+2),Bedi Travels,23:00,4.7,"Starts from
INR 1159 1043",08:00,09h 00m,Himachal Pradesh
Shimla to Delhi,32 Seats available,Super Luxury Volvo AC Seater Pushback 2+2,RSRTC - 192348,16:30,4.8,INR 1117,02:30,10h 00m,Himachal Pradesh
Shimla to Delhi,16 Seats available,Super Luxury Volvo AC Seater Pushback 2+2,RSRTC - 192348,16:30,4.8,INR 1117,02:30,10h 00m,Himachal Pradesh
Shimla to Delhi,13 Seats available,Super Luxury Volvo AC Seater Pushback 2+2,RSRTC - 192348,16:30,4.8,INR 1117,02:30,10h 00m,Himachal Pradesh
Shimla to Delhi,,Super Luxury Volvo AC Seater Pushback 2+2,RSRTC - 192348,16:30,4.8,INR 1117,02:30,10h 00m,Himachal Pradesh
Shimla to Delhi,,Super Luxury Volvo AC Seater Pushback 2+2,RSRTC - 192348,16:30,4.8,INR 1117,02:30,10h 00m,Himachal Pradesh
Shimla to Delhi,,Super Luxury Volvo AC Seater Pushback 2+2,RSRTC - 192348,16:30,4.8,INR 1117,02:30,10h 00m,Himachal Pradesh
Shimla to Delhi,,Super Luxury Volvo AC Seater Pushback 2+2,RSRTC - 192348,16:30,4.8,INR 1117,02:30,10h 00m,Himachal Pradesh
Shimla to Delhi,,Super Luxury Volvo AC Seater Pushback 2+2,RSRTC - 192348,16:30,4.8,INR 1117,02:30,10h 00m,Himachal Pradesh
Shimla to Delhi,,Super Luxury Volvo AC Seater Pushback 2+2,RSRTC - 192348,16:30,4.8,INR 1117,02:30,10h 00m,Himachal Pradesh
Shimla to Delhi,,Super Luxury Volvo AC Seater Pushback 2+2,RSRTC - 192348,16:30,4.8,INR 1117,02:30,10h 00m,Himachal Pradesh
Chandigarh to Hamirpur (Himachal Pradesh),37 Seats available,HVAC Seater (2+3),Chandigarh Transport Undertaking (CTU) - 165843,08:50,4.1,INR 383.85,13:20,04h 30m,Himachal Pradesh
Hamirpur (Himachal Pradesh) to Chandigarh,16 Seats available,Volvo A/C Semi Sleeper (2+2),Laxmi holidays,20:20,4.5,"Starts from
INR 548",00:30,04h 10m,Himachal Pradesh
