routename,seat,bustypes,busnames,routetimes,starratings,tickets,reaching, duration,STATE
Kozhikode to Ernakulam,27 Seats available,A/C Seater (2+2),Deer Bus LLP,17:30,4.3,"Starts from
INR 350",22:10,04h 40m,KERALA
Kozhikode to Ernakulam,28 Seats available,A/C Seater (2+2),Deer Bus LLP,17:30,4.3,"Starts from
INR 350",22:10,04h 40m,KERALA
Kozhikode to Ernakulam,28 Seats available,A/C Seater (2+2),Deer Bus LLP,17:30,4.3,"Starts from
INR 350",22:10,04h 40m,KERALA
Kozhikode to Ernakulam,18 Seats available,A/C Seater (2+2),Deer Bus LLP,17:30,4.3,"Starts from
INR 350",22:10,04h 40m,KERALA
Kozhikode to Ernakulam,,A/C Seater (2+2),Deer Bus LLP,17:30,4.3,"Starts from
INR 350",22:10,04h 40m,KERALA
Bangalore to Kozhikode,14 Seats available,A/C Seater / Sleeper (2+1),MMK Travels,22:30,4.3,"Starts from
INR 750",07:30,09h 00m,KERALA
Bangalore to Kozhikode,15 Seats available,A/C Seater / Sleeper (2+1),MMK Travels,22:30,4.3,"Starts from
INR 750",07:30,09h 00m,KERALA
Bangalore to Kozhikode,18 Seats available,A/C Seater / Sleeper (2+1),MMK Travels,22:30,4.3,"Starts from
INR 750",07:30,09h 00m,KERALA
Bangalore to Kozhikode,22 Seats available,A/C Seater / Sleeper (2+1),MMK Travels,22:30,4.3,"Starts from
INR 750",07:30,09h 00m,KERALA
Bangalore to Kozhikode,,A/C Seater / Sleeper (2+1),MMK Travels,22:30,4.3,"Starts from
INR 750",07:30,09h 00m,KERALA
Kozhikode to Bangalore,17 Seats available,A/C Seater / Sleeper (2+1),MMK Travels,21:30,4.4,"Starts from
INR 700",06:00,08h 30m,KERALA
Kozhikode to Bangalore,16 Seats available,A/C Seater / Sleeper (2+1),MMK Travels,21:30,4.4,"Starts from
INR 700",06:00,08h 30m,KERALA
Kozhikode to Bangalore,19 Seats available,A/C Seater / Sleeper (2+1),MMK Travels,21:30,4.4,"Starts from
INR 700",06:00,08h 30m,KERALA
Kozhikode to Bangalore,28 Seats available,A/C Seater / Sleeper (2+1),MMK Travels,21:30,4.4,"Starts from
INR 700",06:00,08h 30m,KERALA
Kozhikode to Bangalore,,A/C Seater / Sleeper (2+1),MMK Travels,21:30,4.4,"Starts from
INR 700",06:00,08h 30m,KERALA
Ernakulam to Kozhikode,19 Seats available,A/C Seater (2+2),Deer Bus LLP,18:00,4.3,"Starts from
INR 350",22:35,04h 35m,KERALA
Ernakulam to Kozhikode,19 Seats available,A/C Seater (2+2),Deer Bus LLP,18:00,4.3,"Starts from
INR 350",22:35,04h 35m,KERALA
Ernakulam to Kozhikode,24 Seats available,A/C Seater (2+2),Deer Bus LLP,18:00,4.3,"Starts from
INR 350",22:35,04h 35m,KERALA
Ernakulam to Kozhikode,20 Seats available,A/C Seater (2+2),Deer Bus LLP,18:00,4.3,"Starts from
INR 350",22:35,04h 35m,KERALA
Ernakulam to Kozhikode,,A/C Seater (2+2),Deer Bus LLP,18:00,4.3,"Starts from
INR 350",22:35,04h 35m,KERALA
Ernakulam to Kozhikode,,A/C Seater (2+2),Deer Bus LLP,18:00,4.3,"Starts from
INR 350",22:35,04h 35m,KERALA
