routemname,seat,bustypes,busnames,routetimes,starratings,tickets,reaching, duration,STATE
Durgapur (West Bengal) to Kolkata,24 Seats available,Volvo A/C Seater (2+2),Express Line (Karunamoyee),06:10,4.6,INR 486,09:20,03h 10m,southbengal
Durgapur (West Bengal) to Kolkata,25 Seats available,Volvo A/C Seater (2+2),Express Line (Karunamoyee),06:10,4.6,INR 486,09:20,03h 10m,southbengal
Durgapur (West Bengal) to Kolkata,15 Seats available,Volvo A/C Seater (2+2),Express Line (Karunamoyee),06:10,4.6,INR 486,09:20,03h 10m,southbengal
Durgapur (West Bengal) to Kolkata,,Volvo A/C Seater (2+2),Express Line (Karunamoyee),06:10,4.6,INR 486,09:20,03h 10m,southbengal
Durgapur (West Bengal) to Kolkata,,Volvo A/C Seater (2+2),Express Line (Karunamoyee),06:10,4.6,INR 486,09:20,03h 10m,southbengal
Kolkata to Burdwan,3 Seats available,Scania Multi-Axle AC Semi Sleeper (2+2),Express Line (Karunamoyee),06:30,4.3,INR 429,08:30,02h 00m,southbengal
Kolkata to Burdwan,3 Seats available,Scania Multi-Axle AC Semi Sleeper (2+2),Express Line (Karunamoyee),06:30,4.3,INR 429,08:30,02h 00m,southbengal
Kolkata to Burdwan,18 Seats available,Scania Multi-Axle AC Semi Sleeper (2+2),Express Line (Karunamoyee),06:30,4.3,INR 429,08:30,02h 00m,southbengal
Kolkata to Burdwan,,Scania Multi-Axle AC Semi Sleeper (2+2),Express Line (Karunamoyee),06:30,4.3,INR 429,08:30,02h 00m,southbengal
Kolkata to Burdwan,,Scania Multi-Axle AC Semi Sleeper (2+2),Express Line (Karunamoyee),06:30,4.3,INR 429,08:30,02h 00m,southbengal
Kolkata to Burdwan,,Scania Multi-Axle AC Semi Sleeper (2+2),Express Line (Karunamoyee),06:30,4.3,INR 429,08:30,02h 00m,southbengal
Kolkata to Burdwan,,Scania Multi-Axle AC Semi Sleeper (2+2),Express Line (Karunamoyee),06:30,4.3,INR 429,08:30,02h 00m,southbengal
Kolkata to Burdwan,,Scania Multi-Axle AC Semi Sleeper (2+2),Express Line (Karunamoyee),06:30,4.3,INR 429,08:30,02h 00m,southbengal
