routename,seat,bustypes,busnames,routetimes,starratings,tickets,reaching, duration,STATE
Hyderabad to Vijayawada,24 Seats available,Electric A/C Seater (2+2),FRESHBUS,12:50,,"Starts from
INR 349 249",19:30,06h 40m,telungana
Hyderabad to Vijayawada,23 Seats available,Electric A/C Seater (2+2),FRESHBUS,12:50,,"Starts from
INR 349 249",19:30,06h 40m,telungana
Hyderabad to Vijayawada,15 Seats available,Electric A/C Seater (2+2),FRESHBUS,12:50,,"Starts from
INR 349 249",19:30,06h 40m,telungana
Hyderabad to Vijayawada,,Electric A/C Seater (2+2),FRESHBUS,12:50,,"Starts from
INR 349 249",19:30,06h 40m,telungana
Hyderabad to Vijayawada,,Electric A/C Seater (2+2),FRESHBUS,12:50,,"Starts from
INR 349 249",19:30,06h 40m,telungana
Hyderabad to Vijayawada,,Electric A/C Seater (2+2),FRESHBUS,12:50,,"Starts from
INR 349 249",19:30,06h 40m,telungana
Hyderabad to Vijayawada,,Electric A/C Seater (2+2),FRESHBUS,12:50,,"Starts from
INR 349 249",19:30,06h 40m,telungana
Hyderabad to Vijayawada,,Electric A/C Seater (2+2),FRESHBUS,12:50,,"Starts from
INR 349 249",19:30,06h 40m,telungana
Hyderabad to Vijayawada,,Electric A/C Seater (2+2),FRESHBUS,12:50,,"Starts from
INR 349 249",19:30,06h 40m,telungana
Hyderabad to Vijayawada,,Electric A/C Seater (2+2),FRESHBUS,12:50,,"Starts from
INR 349 249",19:30,06h 40m,telungana
Hyderabad to Khammam,48 Seats available,Non A/C Seater / Sleeper (2+1),MAHABAHUSRIKVRTRAVELS,16:00,,"Starts from
INR 800 760",22:30,06h 30m,telungana
Hyderabad to Khammam,40 Seats available,Non A/C Seater / Sleeper (2+1),MAHABAHUSRIKVRTRAVELS,16:00,,"Starts from
INR 800 760",22:30,06h 30m,telungana
Hyderabad to Khammam,17 Seats available,Non A/C Seater / Sleeper (2+1),MAHABAHUSRIKVRTRAVELS,16:00,,"Starts from
INR 800 760",22:30,06h 30m,telungana
Hyderabad to Khammam,,Non A/C Seater / Sleeper (2+1),MAHABAHUSRIKVRTRAVELS,16:00,,"Starts from
INR 800 760",22:30,06h 30m,telungana
Hyderabad to Khammam,,Non A/C Seater / Sleeper (2+1),MAHABAHUSRIKVRTRAVELS,16:00,,"Starts from
INR 800 760",22:30,06h 30m,telungana
Hyderabad to Khammam,,Non A/C Seater / Sleeper (2+1),MAHABAHUSRIKVRTRAVELS,16:00,,"Starts from
INR 800 760",22:30,06h 30m,telungana
Hyderabad to Khammam,,Non A/C Seater / Sleeper (2+1),MAHABAHUSRIKVRTRAVELS,16:00,,"Starts from
INR 800 760",22:30,06h 30m,telungana
Hyderabad to Khammam,,Non A/C Seater / Sleeper (2+1),MAHABAHUSRIKVRTRAVELS,16:00,,"Starts from
INR 800 760",22:30,06h 30m,telungana
Hyderabad to Khammam,,Non A/C Seater / Sleeper (2+1),MAHABAHUSRIKVRTRAVELS,16:00,,"Starts from
INR 800 760",22:30,06h 30m,telungana
Hyderabad to Khammam,,Non A/C Seater / Sleeper (2+1),MAHABAHUSRIKVRTRAVELS,16:00,,"Starts from
INR 800 760",22:30,06h 30m,telungana
