routename,seat,bustypes,busnames,routetimes,starratings,tickets,reaching, duration,STATE
Bareilly (Uttar Pradesh) to Delhi,34 Seats available,A/C Seater (2+2),FlixBus,23:50,4.4,"Starts from
INR 284.82",05:05,05h 15m,uttrapratesh
Bareilly (Uttar Pradesh) to Delhi,33 Seats available,A/C Seater (2+2),FlixBus,23:50,4.4,"Starts from
INR 284.82",05:05,05h 15m,uttrapratesh
Bareilly (Uttar Pradesh) to Delhi,30 Seats available,A/C Seater (2+2),FlixBus,23:50,4.4,"Starts from
INR 284.82",05:05,05h 15m,uttrapratesh
Bareilly (Uttar Pradesh) to Delhi,34 Seats available,A/C Seater (2+2),FlixBus,23:50,4.4,"Starts from
INR 284.82",05:05,05h 15m,uttrapratesh
Bareilly (Uttar Pradesh) to Delhi,,A/C Seater (2+2),FlixBus,23:50,4.4,"Starts from
INR 284.82",05:05,05h 15m,uttrapratesh
Lucknow to Prayagraj(Uttar Pradesh),25 Seats available,Volvo AC Seater (2+2),ARORA TRAVELS,17:15,3.0,INR 699,21:59,04h 44m,uttrapratesh
Lucknow to Prayagraj(Uttar Pradesh),27 Seats available,Volvo AC Seater (2+2),ARORA TRAVELS,17:15,3.0,INR 699,21:59,04h 44m,uttrapratesh
Lucknow to Prayagraj(Uttar Pradesh),13 Seats available,Volvo AC Seater (2+2),ARORA TRAVELS,17:15,3.0,INR 699,21:59,04h 44m,uttrapratesh
Lucknow to Prayagraj(Uttar Pradesh),30 Seats available,Volvo AC Seater (2+2),ARORA TRAVELS,17:15,3.0,INR 699,21:59,04h 44m,uttrapratesh
Lucknow to Prayagraj(Uttar Pradesh),,Volvo AC Seater (2+2),ARORA TRAVELS,17:15,3.0,INR 699,21:59,04h 44m,uttrapratesh
Lucknow to Prayagraj(Uttar Pradesh),,Volvo AC Seater (2+2),ARORA TRAVELS,17:15,3.0,INR 699,21:59,04h 44m,uttrapratesh
Prayagraj(Uttar Pradesh) to Lucknow,32 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),Maharani Travels,15:30,3.8,"Starts from
INR 1001",00:45,09h 15m,uttrapratesh
Prayagraj(Uttar Pradesh) to Lucknow,21 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),Maharani Travels,15:30,3.8,"Starts from
INR 1001",00:45,09h 15m,uttrapratesh
Prayagraj(Uttar Pradesh) to Lucknow,31 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),Maharani Travels,15:30,3.8,"Starts from
INR 1001",00:45,09h 15m,uttrapratesh
Prayagraj(Uttar Pradesh) to Lucknow,27 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),Maharani Travels,15:30,3.8,"Starts from
INR 1001",00:45,09h 15m,uttrapratesh
Prayagraj(Uttar Pradesh) to Lucknow,,Bharat Benz A/C Seater /Sleeper (2+1),Maharani Travels,15:30,3.8,"Starts from
INR 1001",00:45,09h 15m,uttrapratesh
Prayagraj(Uttar Pradesh) to Lucknow,,Bharat Benz A/C Seater /Sleeper (2+1),Maharani Travels,15:30,3.8,"Starts from
INR 1001",00:45,09h 15m,uttrapratesh
Prayagraj(Uttar Pradesh) to Lucknow,,Bharat Benz A/C Seater /Sleeper (2+1),Maharani Travels,15:30,3.8,"Starts from
INR 1001",00:45,09h 15m,uttrapratesh
Prayagraj(Uttar Pradesh) to Lucknow,,Bharat Benz A/C Seater /Sleeper (2+1),Maharani Travels,15:30,3.8,"Starts from
INR 1001",00:45,09h 15m,uttrapratesh
Prayagraj(Uttar Pradesh) to Lucknow,,Bharat Benz A/C Seater /Sleeper (2+1),Maharani Travels,15:30,3.8,"Starts from
INR 1001",00:45,09h 15m,uttrapratesh
Prayagraj(Uttar Pradesh) to Lucknow,,Bharat Benz A/C Seater /Sleeper (2+1),Maharani Travels,15:30,3.8,"Starts from
INR 1001",00:45,09h 15m,uttrapratesh
Delhi to Bareilly (Uttar Pradesh),16 Seats available,A/C Seater (2+2),FlixBus,23:35,4.3,"Starts from
INR 328.57",04:35,05h 00m,uttrapratesh
Delhi to Bareilly (Uttar Pradesh),30 Seats available,A/C Seater (2+2),FlixBus,23:35,4.3,"Starts from
INR 328.57",04:35,05h 00m,uttrapratesh
Delhi to Bareilly (Uttar Pradesh),34 Seats available,A/C Seater (2+2),FlixBus,23:35,4.3,"Starts from
INR 328.57",04:35,05h 00m,uttrapratesh
Delhi to Bareilly (Uttar Pradesh),36 Seats available,A/C Seater (2+2),FlixBus,23:35,4.3,"Starts from
INR 328.57",04:35,05h 00m,uttrapratesh
Delhi to Bareilly (Uttar Pradesh),,A/C Seater (2+2),FlixBus,23:35,4.3,"Starts from
INR 328.57",04:35,05h 00m,uttrapratesh
Delhi to Bareilly (Uttar Pradesh),,A/C Seater (2+2),FlixBus,23:35,4.3,"Starts from
INR 328.57",04:35,05h 00m,uttrapratesh
Delhi to Bareilly (Uttar Pradesh),,A/C Seater (2+2),FlixBus,23:35,4.3,"Starts from
INR 328.57",04:35,05h 00m,uttrapratesh
Delhi to Bareilly (Uttar Pradesh),,A/C Seater (2+2),FlixBus,23:35,4.3,"Starts from
INR 328.57",04:35,05h 00m,uttrapratesh
Delhi to Bareilly (Uttar Pradesh),,A/C Seater (2+2),FlixBus,23:35,4.3,"Starts from
INR 328.57",04:35,05h 00m,uttrapratesh
Delhi to Bareilly (Uttar Pradesh),,A/C Seater (2+2),FlixBus,23:35,4.3,"Starts from
INR 328.57",04:35,05h 00m,uttrapratesh
Aligarh (uttar pradesh) to Delhi,52 Seats available,Ordinary Non AC Seater 2+3,UPSRTC - BDV0098,12:30,3.3,INR 204,15:50,03h 20m,uttrapratesh
Aligarh (uttar pradesh) to Delhi,36 Seats available,Ordinary Non AC Seater 2+3,UPSRTC - BDV0098,12:30,3.3,INR 204,15:50,03h 20m,uttrapratesh
Aligarh (uttar pradesh) to Delhi,52 Seats available,Ordinary Non AC Seater 2+3,UPSRTC - BDV0098,12:30,3.3,INR 204,15:50,03h 20m,uttrapratesh
Aligarh (uttar pradesh) to Delhi,52 Seats available,Ordinary Non AC Seater 2+3,UPSRTC - BDV0098,12:30,3.3,INR 204,15:50,03h 20m,uttrapratesh
Aligarh (uttar pradesh) to Delhi,52 Seats available,Ordinary Non AC Seater 2+3,UPSRTC - BDV0098,12:30,3.3,INR 204,15:50,03h 20m,uttrapratesh
Aligarh (uttar pradesh) to Delhi,,Ordinary Non AC Seater 2+3,UPSRTC - BDV0098,12:30,3.3,INR 204,15:50,03h 20m,uttrapratesh
Aligarh (uttar pradesh) to Delhi,,Ordinary Non AC Seater 2+3,UPSRTC - BDV0098,12:30,3.3,INR 204,15:50,03h 20m,uttrapratesh
Aligarh (uttar pradesh) to Delhi,,Ordinary Non AC Seater 2+3,UPSRTC - BDV0098,12:30,3.3,INR 204,15:50,03h 20m,uttrapratesh
